Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
21412685,09/11/2011 12:00 AM,09/11/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,,,,,AVENUE A,EAST   11 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,09/11/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989297,204670,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72844711927702,-73.98179046654367,"(40.72844711927702, -73.98179046654367)"
21409423,09/11/2011 12:00 AM,09/11/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,349 EAST 10 STREET,EAST 10 STREET,AVENUE B,AVENUE C,,,ADDRESS,NEW YORK,,N/A,Closed,,09/11/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989937,204033,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.726698321239766,-73.9794818903524,"(40.726698321239766, -73.9794818903524)"
21409287,09/11/2011 12:00 AM,09/11/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10002,74 CANAL STREET,CANAL STREET,ALLEN STREET,ELDRIDGE STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/11/2011 12:00 AM,03 MANHATTAN,MANHATTAN,986209,199845,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71520488277188,-73.9929333488117,"(40.71520488277188, -73.9929333488117)"
21413839,09/11/2011 12:00 AM,09/11/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10002,3 PIKE STREET,PIKE STREET,ALLEN STREET,EAST BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,09/11/2011 12:00 AM,03 MANHATTAN,MANHATTAN,986253,199467,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71416735323988,-73.9927747411938,"(40.71416735323988, -73.9927747411938)"
21412996,09/11/2011 12:00 AM,09/11/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,441 EAST 12 STREET,EAST 12 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,N/A,Closed,,09/11/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989082,205095,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7296137605102,-73.98256587952476,"(40.7296137605102, -73.98256587952476)"
21409866,09/10/2011 12:00 AM,09/10/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,509 EAST 12 STREET,EAST 12 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,09/10/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989561,204832,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.728891615149415,-73.98083782893868,"(40.728891615149415, -73.98083782893868)"
21408819,09/10/2011 12:00 AM,09/10/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10002,84 MADISON STREET,MADISON STREET,CATHERINE STREET,MARKET STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/10/2011 12:00 AM,03 MANHATTAN,MANHATTAN,985365,198733,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7121528546867,-73.99597807284839,"(40.7121528546867, -73.99597807284839)"
21409865,09/10/2011 12:00 AM,09/10/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,505 EAST 12 STREET,EAST 12 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,09/10/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989543,204842,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72891907349611,-73.98090276535221,"(40.72891907349611, -73.98090276535221)"
21408441,09/10/2011 12:00 AM,09/10/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,127 4 AVENUE,4 AVENUE,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/10/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987043,206407,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73321575770277,-73.98992215843091,"(40.73321575770277, -73.98992215843091)"
21390533,09/08/2011 12:00 AM,09/08/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10003,93 2 AVENUE,2 AVENUE,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/08/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987356,204166,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72706465667043,-73.98879381071063,"(40.72706465667043, -73.98879381071063)"
