Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
20760034,07/03/2011 12:00 AM,07/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10019,204 WEST 55 STREET,WEST 55 STREET,7 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,07/03/2011 12:00 AM,05 MANHATTAN,MANHATTAN,989413,217758,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76437032700372,-73.9813618922139,"(40.76437032700372, -73.9813618922139)"
20760644,07/03/2011 12:00 AM,07/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10034,4957 BROADWAY,BROADWAY,WEST 207 STREET,ISHAM STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,07/03/2011 12:00 AM,12 MANHATTAN,MANHATTAN,1006270,255502,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.867941059126196,-73.92038535798271,"(40.867941059126196, -73.92038535798271)"
23353179,06/03/2012 12:00 AM,06/03/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10027,2969 BROADWAY,BROADWAY,WEST 116 STREET,WEST 120 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,09 MANHATTAN,MANHATTAN,994311,233783,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80835044817772,-73.96365641810745,"(40.80835044817772, -73.96365641810745)"
20763370,07/04/2011 12:00 AM,07/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10019,,,,,WEST   48 STREET,8 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,07/04/2011 12:00 AM,04 MANHATTAN,MANHATTAN,987847,216543,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76103624061836,-73.98701570451738,"(40.76103624061836, -73.98701570451738)"
20759913,07/04/2011 12:00 AM,07/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10012,128 WEST HOUSTON STREET,WEST HOUSTON STREET,THOMPSON STREET,SULLIVAN STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,07/04/2011 12:00 AM,02 MANHATTAN,MANHATTAN,983898,204365,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72761140149759,-74.00126999709673,"(40.72761140149759, -74.00126999709673)"
21827275,11/06/2011 12:00 AM,11/06/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10014,137 WEST 10 STREET,WEST 10 STREET,GREENWICH AVENUE,WAVERLY PLACE,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,984107,206917,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73461602202156,-74.00051599055713,"(40.73461602202156, -74.00051599055713)"
24365219,11/08/2012 12:00 AM,11/08/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,197 EAST 3 STREET,EAST 3 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,988811,202659,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72292767698116,-73.98354531334377,"(40.72292767698116, -73.98354531334377)"
24366678,11/08/2012 12:00 AM,11/08/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10014,182 WEST 4 STREET,WEST 4 STREET,JONES STREET,BARROW STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,983742,206145,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73249705846839,-74.0018329711023,"(40.73249705846839, -74.0018329711023)"
23013685,04/06/2012 12:00 AM,04/06/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10029,,,,,EAST  110 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,,11 MANHATTAN,MANHATTAN,1000708,228262,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79318721548483,-73.94056192598961,"(40.79318721548483, -73.94056192598961)"
21602020,10/07/2011 12:00 AM,10/07/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10001,420 WEST 25 STREET,WEST 25 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/07/2011 12:00 AM,04 MANHATTAN,MANHATTAN,983911,211833,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74810921281167,-74.00122347012359,"(40.74810921281167, -74.00122347012359)"
20750698,07/02/2011 12:00 AM,07/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,238 EAST 9 STREET,EAST 9 STREET,STUYVESANT STREET,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,07/02/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987530,205080,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7295733008432,-73.98816558769958,"(40.7295733008432, -73.98816558769958)"
20750657,07/02/2011 12:00 AM,07/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10033,1 BENNETT AVENUE,BENNETT AVENUE,WEST 181 STREET,WEST 184 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,07/02/2011 12:00 AM,12 MANHATTAN,MANHATTAN,1001815,249227,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.850728062663016,-73.93650911771923,"(40.850728062663016, -73.93650911771923)"
20750650,07/02/2011 12:00 AM,07/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10075,265 EAST 78 STREET,EAST 78 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,07/02/2011 12:00 AM,08 MANHATTAN,MANHATTAN,996319,220917,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77303422968557,-73.95642599348551,"(40.77303422968557, -73.95642599348551)"
23138079,04/28/2012 12:00 AM,04/28/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10036,626 TENTH AVENUE,TENTH AVENUE,WEST 44 STREET,WEST 45 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,04 MANHATTAN,MANHATTAN,985837,216624,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76125915409833,-73.99427129668236,"(40.76125915409833, -73.99427129668236)"
20750653,07/02/2011 12:00 AM,07/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,103 THIRD AVENUE,THIRD AVENUE,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,07/02/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987637,206129,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73245250849258,-73.98777899804624,"(40.73245250849258, -73.98777899804624)"
23221845,05/13/2012 12:00 AM,05/13/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10029,2105 FIRST AVENUE,FIRST AVENUE,EAST 108 STREET,EAST 109 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,11 MANHATTAN,MANHATTAN,1001122,227468,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7910071193718,-73.93906875989852,"(40.7910071193718, -73.93906875989852)"
23219812,05/13/2012 12:00 AM,05/13/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10017,842 SECOND AVENUE,SECOND AVENUE,EAST 44 STREET,EAST 45 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,992314,213108,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.751605095622175,-73.97089504125978,"(40.751605095622175, -73.97089504125978)"
23217777,05/13/2012 12:00 AM,05/13/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10014,189 WEST 10 STREET,WEST 10 STREET,WEST 4 STREET,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,983338,206770,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.734212497361966,-74.00329077299581,"(40.734212497361966, -74.00329077299581)"
23219483,05/13/2012 12:00 AM,05/13/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,301 SECOND AVENUE,SECOND AVENUE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,988841,206850,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73443093315923,-73.98343422320505,"(40.73443093315923, -73.98343422320505)"
23219074,05/13/2012 12:00 AM,05/13/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,301 SECOND AVENUE,SECOND AVENUE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,988841,206850,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73443093315923,-73.98343422320505,"(40.73443093315923, -73.98343422320505)"
22658813,02/05/2012 12:00 AM,02/05/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10028,,,,,2 AVENUE,EAST   83 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,,08 MANHATTAN,MANHATTAN,997221,221970,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77592316061583,-73.95316737408258,"(40.77592316061583, -73.95316737408258)"
23177882,05/05/2012 12:00 AM,05/05/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10031,540 WEST 143 STREET,WEST 143 STREET,HAMILTON PLACE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,,09 MANHATTAN,MANHATTAN,998105,239674,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82451445398313,-73.94993910574296,"(40.82451445398313, -73.94993910574296)"
